ticker,series,t,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
CBRL,real,13,0.006856543,-0.0063979747,0.022843635,0.0012539187,0.03785304,-0.0057044234,0.00025999913,0.0066502816,-0.025103733,-0.0135077145,-0.032461822,0.022571435,0.0016251359,0.008354718,-0.006912367,-0.0038810468,-0.020557117,0.023627097,-0.015719736,0.00054934993
CBRL,halluc,13,0.008118354,-0.0051317303,0.024152374,0.002547304,0.03915399,-0.004397382,0.0015322515,0.0079099,-0.023822274,-0.0122353975,-0.031234572,0.023857988,0.0029516257,0.009699037,-0.005606469,-0.0025765758,-0.019271247,0.02489673,-0.014377292,0.0019006219
CBSH,real,13,0.00030576368,-0.0035219393,0.020797715,-0.007843177,0.0181564,0.008145176,-0.011571112,0.010685764,-0.013524765,-0.006906934,0.003309269,0.004644551,-0.007050205,0.0066016745,-0.008560538,0.010801185,-0.010198048,-0.0048353067,-0.0022746236,0.013420995
CBSH,halluc,13,0.0009545122,-0.0028638812,0.02152608,-0.007099267,0.018877909,0.0087951785,-0.01096187,0.01123916,-0.012880858,-0.006368971,0.003968399,0.005326725,-0.0063920487,0.0072511774,-0.007940566,0.011400073,-0.009777597,-0.0041316594,-0.0015367748,0.013739108
CBT,real,13,-0.012210819,-0.010449982,0.027317852,0.017892858,0.00869853,-0.018262966,-0.016726794,-0.0021441977,-0.017321138,-0.007948513,0.01840417,0.06180786,-0.0024156135,0.007987364,0.0066704676,0.0026307562,-0.03371606,0.006320563,0.009259411,0.0075241057
CBT,halluc,13,-0.010744143,-0.009194677,0.029067988,0.01948636,0.010454489,-0.016556554,-0.015545382,-0.00044538756,-0.017060002,-0.006499095,0.01806062,0.06013774,-0.0007442131,0.009482668,0.004983564,0.003406307,-0.035205904,0.007693718,0.010808021,0.0059073577
CC,real,13,0.0034246608,0.00085433596,0.035238545,-0.0016501653,-0.009958588,-0.0022265525,-0.014877468,0.0148774665,-0.0268264,-0.042086866,0.02505658,0.020458862,-0.011186119,-0.005785379,0.010963757,0.0065780305,-0.04757938,0.0101131145,0.011855509,-0.0056138425
CC,halluc,13,0.003324998,0.001091287,0.0339201,-0.0014402681,-0.009789165,-0.002228702,-0.014877748,0.016577791,-0.025169035,-0.041859113,0.025083276,0.019122304,-0.009577397,-0.005393456,0.009678254,0.008199966,-0.0486633,0.010031443,0.010530772,-0.006631237
CELH,real,13,-0.031117376,-0.01321426,0.026156504,0.0012950148,-0.064983286,-0.021476183,0.076454386,-0.013361875,-0.0073642554,-0.010318944,0.0074403575,0.007487599,-0.01731645,0.004978231,-0.029928207,0.010919801,-0.08731817,0.02421261,0.030308705,0.003154749
CELH,halluc,13,-0.033860218,-0.015965678,0.02341032,-0.001468644,-0.06776674,-0.024229828,0.073705316,-0.016098965,-0.01012268,-0.013030109,0.0047275685,0.0047531687,-0.020092696,0.002215214,-0.03267394,0.008139444,-0.08992631,0.021442678,0.027524777,0.00039835647
CFR,real,13,-0.03628918,-0.008826601,0.030788451,-0.008092218,-0.012693393,0.012616008,0.016120717,0.014064505,-0.005043483,-0.003704688,-0.0024268175,0.0009866052,-0.0091443155,0.007398119,-0.016858637,0.0145764,-0.02007837,-0.011567148,0.011567147,0.022208622
CFR,halluc,13,-0.03742455,-0.009963711,0.029686823,-0.009232723,-0.013856304,0.011479812,0.0149798505,0.012937437,-0.0061825747,-0.004791359,-0.003521041,-0.000111345005,-0.0102924295,0.0062387264,-0.01799888,0.013421022,-0.021139512,-0.0126961665,0.01039352,0.02107919
CGNX,real,13,-0.0068027475,-0.010674901,0.047895424,0.009997357,0.03116072,-0.020188397,-0.027200226,0.004585061,-0.0034827273,-0.00792704,-0.0181161,0.019780455,0.022111455,0.018621845,-0.018983379,-0.13884029,-0.019507699,-0.0082952725,0.0004270766,0.0042607645
CGNX,halluc,13,-0.006046839,-0.013816401,0.048300363,0.013186401,0.030215703,-0.02313089,-0.030414084,0.0018315027,-0.0064216773,-0.010586314,-0.01941641,0.01969415,0.020450557,0.015458992,-0.021550871,-0.113594785,-0.022293737,-0.00839813,0.0036467696,0.0016580992
CHDN,real,13,-0.0006839533,-0.016884202,0.015393981,0.0056270245,-0.0084524555,0.014406638,-0.009970252,0.014501982,-0.014341029,-0.015734306,-0.005779771,0.006229273,0.0070429994,0.013338636,-0.011717233,-0.0041397847,-0.015203654,0.00214495,0.004645339,-0.0029162324
CHDN,halluc,13,1.4699646e-05,-0.016198125,0.016052982,0.0063278275,-0.007779919,0.015096624,-0.009309098,0.015217523,-0.0136559205,-0.01504097,-0.0050903093,0.006883355,0.007727052,0.01396727,-0.011055092,-0.0034500817,-0.014579414,0.0028185993,0.005249178,-0.002305939
CHE,real,13,-0.005237393,-0.0015243904,0.013874161,0.012511967,0.008080656,-0.011095949,-0.020964961,0.0053523052,-0.010270463,-0.007574952,0.013713879,0.0041713715,0.0016517582,0.023386672,0.0021150478,-0.00485768,-0.003004118,0.0019712516,-0.0031441345,0.036685627
CHE,halluc,13,-0.0062024584,-0.0024894148,0.012925043,0.011544557,0.0071027894,-0.012059966,-0.021930153,0.0043924158,-0.011237056,-0.008516961,0.012768359,0.0032219011,0.00067906803,0.022413353,0.0011462783,-0.0058343727,-0.003934335,0.0010090948,-0.0041250167,0.03572013
CHH,real,13,-0.0013691462,-0.019531872,0.009894999,0.007862249,0.011399336,0.0030286144,-0.00606643,0.0054295887,-0.0047892816,-0.00553618,-0.021798342,0.018736292,0.014581254,0.03347462,-0.05072265,-0.0059246207,-0.024639703,-0.0016700071,0.004253019,-0.009531844
CHH,halluc,13,-0.00014692778,-0.018354056,0.0112069305,0.009190194,0.012675537,0.0028367983,-0.005630894,0.00577099,-0.0036662205,-0.004749357,-0.0206747,0.019160643,0.015731718,0.033280775,-0.052085157,-0.0051483437,-0.023314998,-0.0005345396,0.0052890657,-0.009028446
