scenario_id,graph_index,date,ticker,series,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
63,2523,2022-01-28,TNDM,real,-0.007347186,-0.011855621,-0.031677775,-0.050710715,-0.013034956,-0.03840305,-0.026550915,0.014135059,-0.009141681,-0.03476339,-0.027282588,-0.03823412,0.06333867,-0.0011312217,-0.0025904644,0.014964078,-0.06729458,-0.020624625,-0.031082327,0.020476101
63,2523,2022-01-28,TNDM,halluc,-0.007347186,-0.011855621,-0.031677775,-0.050710715,-0.013034956,-0.03840305,-0.026550915,0.014135059,-0.009141681,-0.03476339,-0.027282588,-0.03823412,0.06333867,-0.0011312217,-0.0025904644,0.014964078,-0.06729458,-0.020624625,-0.031082327,0.020476101
63,2523,2022-01-28,TOL,real,-0.00749483,-0.021687936,0.015399048,-0.024839826,-0.012175814,-0.045194477,-0.0012213737,0.022208026,0.0028347652,0.0022323113,-0.012415087,-0.04762438,-0.048513964,-0.031647146,-0.017946988,0.031873845,-0.008638997,-0.04541885,-0.023051623,0.024297068
63,2523,2022-01-28,TOL,halluc,-0.00749483,-0.021687936,0.015399048,-0.024839826,-0.012175814,-0.045194477,-0.0012213737,0.022208026,0.0028347652,0.0022323113,-0.012415087,-0.04762438,-0.048513964,-0.031647146,-0.017946988,0.031873845,-0.008638997,-0.04541885,-0.023051623,0.024297068
63,2523,2022-01-28,TPH,real,-0.010791471,-0.023788862,0.017257635,-0.032183282,-0.014388737,-0.03334935,0.02415388,0.0061396975,-0.006524682,0.024345059,-0.016673367,-0.029077452,-0.01346555,-0.0254405,-0.010690891,0.04209444,-0.014371505,-0.045237977,-0.016543325,0.022415828
63,2523,2022-01-28,TPH,halluc,-0.010791471,-0.023788862,0.017257635,-0.032183282,-0.014388737,-0.03334935,0.02415388,0.0061396975,-0.006524682,0.024345059,-0.016673367,-0.029077452,-0.01346555,-0.0254405,-0.010690891,0.04209444,-0.014371505,-0.045237977,-0.016543325,0.022415828
63,2523,2022-01-28,TPX,real,-0.016463015,0.008054304,0.017577354,-0.029042445,0.0051118312,-0.048535258,-0.012793352,0.008547061,-0.0053896382,-0.014973057,-0.03868143,-0.030638028,-0.010589928,-0.025070254,-0.017414013,0.031280365,-0.0030090292,-0.028271332,-0.045180053,0.040259674
63,2523,2022-01-28,TPX,halluc,-0.016463015,0.008054304,0.017577354,-0.029042445,0.0051118312,-0.048535258,-0.012793352,0.008547061,-0.0053896382,-0.014973057,-0.03868143,-0.030638028,-0.010589928,-0.025070254,-0.017414013,0.031280365,-0.0030090292,-0.028271332,-0.045180053,0.040259674
63,2523,2022-01-28,TRGP,real,-0.008507399,0.033228185,0.021002537,-0.0057179905,0.027368976,0.006279737,-0.024258973,0.032984875,0.010055655,0.0024544194,0.011663462,-0.00607588,-0.019694675,-0.01340862,-0.0019818037,0.0019818044,0.023304444,0.008579235,0.006602978,0.009710567
63,2523,2022-01-28,TRGP,halluc,-0.0049713994,0.033012394,0.026564784,-0.0052570696,0.02695049,0.005418268,-0.02286154,0.030499144,0.008644787,0.0030590477,0.012472978,-0.006177833,-0.020306535,-0.012787694,-0.0041841255,0.0020825178,0.020885536,0.0067673894,0.0052886014,0.009755034
63,2523,2022-01-28,TRIP,real,0.014231219,0.030332385,0.019837085,-0.026184076,-0.009239582,0.0078236535,0.010921369,0.021148298,-0.014861168,0.0013917887,0.0069300346,-0.028723517,-0.005344748,-0.00035733427,-0.017667666,-0.02990808,-0.0007499063,-0.023146546,-0.03714992,0.029442752
63,2523,2022-01-28,TRIP,halluc,0.011317081,0.032497857,0.02061718,-0.024456885,-0.0039048907,0.006980816,0.010628391,0.021467598,-0.019282382,0.0015671726,0.006554422,-0.027879868,-0.009812845,0.00066630053,-0.020603236,-0.02475865,0.00031799497,-0.020915065,-0.039506998,0.02755533
63,2523,2022-01-28,TRN,real,-0.0013540963,0.030689534,0.029137703,-0.012199188,0.0074014813,-0.0006414369,-0.014542186,0.0048709298,-0.00911168,0.009180413,0.0068304054,-0.018979628,-0.021032322,-0.03957165,-0.032824922,0.026486872,0.007039803,0.0090782745,-0.022852112,0.015876148
63,2523,2022-01-28,TRN,halluc,-0.0013540963,0.030689534,0.029137703,-0.012199188,0.0074014813,-0.0006414369,-0.014542186,0.0048709298,-0.00911168,0.009180413,0.0068304054,-0.018979628,-0.021032322,-0.03957165,-0.032824922,0.026486872,0.007039803,0.0090782745,-0.022852112,0.015876148
63,2523,2022-01-28,TTC,real,-0.008012061,0.0014067525,0.019292563,-0.0263462,-0.004662486,-0.009493258,-0.0062760636,0.033392254,-0.010032186,-0.0013116079,-0.004350692,0.005561468,-0.0027263106,-0.048370633,-0.0091685075,0.0020328471,0.0038404143,-0.0055520106,0.007679218,0.02486881
63,2523,2022-01-28,TTC,halluc,-0.008012061,0.0014067525,0.019292563,-0.0263462,-0.004662486,-0.009493258,-0.0062760636,0.033392254,-0.010032186,-0.0013116079,-0.004350692,0.005561468,-0.0027263106,-0.048370633,-0.0091685075,0.0020328471,0.0038404143,-0.0055520106,0.007679218,0.02486881
63,2523,2022-01-28,TXRH,real,-0.005733202,-0.005210366,0.023072876,-0.018636804,0.006947153,-0.008608375,-0.014851483,-0.00938125,-0.017758386,0.011264486,-0.0022885923,-0.048228975,-0.0043373564,-0.011659107,-0.03202458,0.05018269,-0.0012003363,-0.014761308,-0.023681423,0.044310667
63,2523,2022-01-28,TXRH,halluc,-0.005733202,-0.005210366,0.023072876,-0.018636804,0.006947153,-0.008608375,-0.014851483,-0.00938125,-0.017758386,0.011264486,-0.0022885923,-0.048228975,-0.0043373564,-0.011659107,-0.03202458,0.05018269,-0.0012003363,-0.014761308,-0.023681423,0.044310667
63,2523,2022-01-28,UBSI,real,-0.0024749085,0.01692642,0.02407177,-0.011696041,0.027948039,0.011118408,0.012266956,0.0010154864,-0.014568949,0.0107555445,0.0005092947,-0.009207226,-0.021293975,-0.029566675,-0.011692859,0.020306643,0.00026798877,-0.022765212,-0.035718087,-0.000852636
